# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\xKamaiL\Desktop\digitalcircuit-laboratoy\lab4\part5\pin.csv
# Generated on: Thu Aug 25 00:38:05 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
hex5[5],Output,PIN_C2,2A,B2A_N0,PIN_W22,,,,,,,,,,,,,
hex5[6],Output,PIN_W19,4A,B4A_N0,PIN_T22,,,,,,,,,,,,,
ledr[9],Output,PIN_L1,2A,B2A_N0,PIN_E15,,,,,,,,,,,,,
ledr[8],Output,PIN_L2,2A,B2A_N0,PIN_H9,,,,,,,,,,,,,
ledr[7],Output,PIN_U1,2A,B2A_N0,PIN_Y15,,,,,,,,,,,,,
ledr[6],Output,PIN_U2,2A,B2A_N0,PIN_U21,,,,,,,,,,,,,
ledr[5],Output,PIN_N1,2A,B2A_N0,PIN_L17,,,,,,,,,,,,,
ledr[4],Output,PIN_N2,2A,B2A_N0,PIN_P22,,,,,,,,,,,,,
ledr[3],Output,PIN_Y3,2A,B2A_N0,PIN_AA1,,,,,,,,,,,,,
ledr[2],Output,PIN_W2,2A,B2A_N0,PIN_V18,,,,,,,,,,,,,
ledr[1],Output,PIN_AA1,2A,B2A_N0,PIN_P17,,,,,,,,,,,,,
ledr[0],Output,PIN_AA2,2A,B2A_N0,PIN_H10,,,,,,,,,,,,,
sw[9],Input,PIN_AB12,4A,B4A_N0,PIN_A14,,,,,,,,,,,,,
sw[8],Input,PIN_AB13,4A,B4A_N0,PIN_A9,,,,,,,,,,,,,
sw[7],Input,PIN_AA13,4A,B4A_N0,PIN_AB15,,,,,,,,,,,,,
sw[6],Input,PIN_AA14,4A,B4A_N0,PIN_U20,,,,,,,,,,,,,
sw[5],Input,PIN_AB15,4A,B4A_N0,PIN_M20,,,,,,,,,,,,,
sw[4],Input,PIN_AA15,4A,B4A_N0,PIN_R16,,,,,,,,,,,,,
sw[3],Input,PIN_T12,4A,B4A_N0,PIN_Y3,,,,,,,,,,,,,
sw[2],Input,PIN_T13,4A,B4A_N0,PIN_V21,,,,,,,,,,,,,
sw[1],Input,PIN_V13,4A,B4A_N0,PIN_N16,,,,,,,,,,,,,
sw[0],Input,PIN_U13,4A,B4A_N0,PIN_J11,,,,,,,,,,,,,
